,open,high,low,close,volume,quote_asset_volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,symbol,date
2024-12-09 17:40:44.556993,45000.0,45228.65236125082,44771.34763874918,45000.0,3639044.8596413606,163757018683.86124,,45000.0,,45000.0,,45000.0,BTCUSDT,2024-12-09
2024-12-10 17:40:44.556993,45000.0,45000.0,43864.971510615855,44215.977122545206,1044133.4523085374,46167380840.15844,,44925.33115452812,,44969.2540048057,,44992.19877733876,BTCUSDT,2024-12-10
2024-12-11 17:40:44.556993,44215.977122545206,44893.5654418986,43550.495823037585,44222.03063246809,4762953.422605455,210627472155.47717,,44858.350152427156,,44939.95112745913,,44984.53541271319,BTCUSDT,2024-12-11
2024-12-12 17:40:44.556993,44222.03063246809,44444.21938090689,44222.03063246809,44409.26703041822,3956645.1741858213,175711712085.03375,,44815.58033128345,,44919.1399863987,,44978.81134920777,BTCUSDT,2024-12-12
2024-12-13 17:40:44.556993,44409.26703041822,44409.26703041822,42641.80253184324,42722.154680509986,2660116.5062840534,113645908849.64514,,44616.20645978121,,44832.983699893266,,44956.35705399685,BTCUSDT,2024-12-13
2024-12-14 17:40:44.556993,42722.154680509986,43518.44800003072,41787.12539433139,42652.78669718106,1763850.6444175683,75233145302.0279,,44429.214101438345,,44747.48577821827,,44933.435955919085,BTCUSDT,2024-12-14
2024-12-15 17:40:44.556993,42652.78669718106,43652.47803209177,42652.78669718106,43227.56626933901,1161183.8842020945,50195153305.23452,,44314.77145076222,,44687.88109159556,,44916.46212819192,BTCUSDT,2024-12-15
2024-12-16 17:40:44.556993,43227.56626933901,43227.56626933901,41649.85307588448,42058.490803273664,3715201.9274298917,156255786097.1147,,44099.88757957283,,44584.76774695549,,44888.02460257085,BTCUSDT,2024-12-16
2024-12-17 17:40:44.556993,42058.490803273664,42058.490803273664,41161.79389302622,41579.802752683994,1973666.6714037978,82064670896.51628,,43859.87950082151,,44466.92598247426,,44855.106972223715,BTCUSDT,2024-12-17
2024-12-18 17:40:44.556993,41579.802752683994,41579.802752683994,39673.297894617295,40042.90863353054,5068879.649121888,202972684664.15012,,43496.35846584142,,44293.43510604509,,44807.224401689455,BTCUSDT,2024-12-18
2024-12-19 17:40:44.556993,40042.90863353054,40042.90863353054,38815.67143673113,38885.31391346195,4749977.861551727,184704380228.43362,,43057.2113656148,,44081.35192202223,,44748.299919219535,BTCUSDT,2024-12-19
2024-12-20 17:40:44.556993,38885.31391346195,39793.90390941259,38885.31391346195,39447.502439624484,4424763.183249658,174545856466.0015,,42713.42956313953,,43899.63233447722,,44695.55566569123,BTCUSDT,2024-12-20
2024-12-21 17:40:44.556993,39447.502439624484,39447.502439624484,38323.074901431835,38420.05721506003,1662237.8535537887,63863273438.575134,,42304.53695856053,,43684.74703567654,,44633.11289503818,BTCUSDT,2024-12-21
2024-12-22 17:40:44.556993,38420.05721506003,38852.61911495436,38053.32213012046,38452.97062253741,4312017.348402381,165809876421.9884,,41937.72111703452,,43479.5793332005,,44571.61894207798,BTCUSDT,2024-12-22
2024-12-23 17:40:44.556993,38452.97062253741,38740.59173904107,37619.024432287995,38179.80808566453,4841733.609534063,184856460013.92236,,41579.82463785643,,43271.745166630455,,44508.01883405396,BTCUSDT,2024-12-23
2024-12-24 17:40:44.556993,38179.80808566453,38179.80808566453,36492.08223151212,36647.08670098284,2546905.3841092535,93336662430.65182,,41110.04007243989,,43011.95463856585,,44429.80060387415,BTCUSDT,2024-12-24
2024-12-25 17:40:44.556993,36647.08670098284,36647.08670098284,35343.19150292501,35827.01408416712,3001168.6944709937,107522913085.77373,,40606.89474022343,,42730.19226388354,,44344.200738006424,BTCUSDT,2024-12-25
2024-12-26 17:40:44.556993,35827.01408416712,35828.69417636154,35666.89497218887,35747.794574275205,4593500.600209491,164207515833.09875,,40144.123295847414,,42456.372746643996,,44258.66435826781,BTCUSDT,2024-12-26
2024-12-27 17:40:44.556993,35747.794574275205,35747.794574275205,33688.409093223454,34297.23666097156,1614794.3226612515,55382983043.10622,,39587.27694966876,,42136.40662563723,,44159.54567471262,BTCUSDT,2024-12-27
2024-12-28 17:40:44.556993,34297.23666097156,34400.83351222837,33954.48717110711,34177.66034166774,1524842.2805569235,52115541539.488556,40010.67146301813,39072.07536795438,,41824.298928226664,,44060.22343259277,BTCUSDT,2024-12-28
2024-12-29 17:40:44.556993,34177.66034166774,34177.66034166774,32682.3822058962,33033.84869306383,4312423.066740235,142455931087.17523,39412.36389767133,38497.00616082194,,41479.57538959283,,43950.508261055176,BTCUSDT,2024-12-29
2024-12-30 17:40:44.556993,33033.84869306383,33333.62841944423,33033.84869306383,33269.79260428648,3180334.7935032225,105809078992.04848,38865.054671758386,37999.176298294755,,41157.62312350238,,43844.23248337589,BTCUSDT,2024-12-30
2024-12-31 17:40:44.556993,33269.79260428648,33269.79260428648,32465.041748445696,32843.680718359436,1318918.6962128459,43318144551.88961,38296.13717605295,37508.17671925329,,40831.586166437955,,43734.77425685832,BTCUSDT,2024-12-31
2025-01-01 17:40:44.556993,32843.680718359436,33698.148377039885,32843.680718359436,33526.56649104518,3184386.2940647732,106761538821.13557,37752.0021490843,37128.97574513824,,40545.114806618636,,43633.20005023331,BTCUSDT,2025-01-01
